question,answer,category,적용대상
영어 단어를 얼마나 외워야 하나요?,"이과는 영단어에 과도한 시간투자보다는 보카바이블 표제어 1~2회독을 기본으로 하되, 파생어·동의어는 상황에 따라 추가하면 됩니다. 표제어를 먼저 완벽히 외우는 것이 중요합니다.",영어,이과
"보카바이블, 정병권 단어장, 단어 암기 프로그램 등 중에 어떤 걸 우선으로 해야 하나요?","보카바이블 표제어를 우선 외우고, 이후 파생어·동의어, 다른 단어장으로 넘어가면 됩니다. 이미 외운 단어장은 반복 회독하고, 단어 암기 프로그램은 암기력 점검 용도로 병행하면 좋습니다.",영어,이과
영어 공부 시간 배분은 어떻게 해야 하나요?,"이과는 수학에 더 집중해야 하므로, 평소 수학:영어=6:4, 상황에 따라 7:3까지 수학 비중을 높여도 괜찮습니다. 영어는 단어+문법+독해 위주로, 단어만이라도 매일 꼭 챙기세요.",학습법,이과
"영어 문법은 정병권T 101, 201, 301을 모두 들어야 하나요?","101로 문법 개념을 한 번 정리한 후, 201·301은 문제풀이 위주로 접근하고, 전체 회독보다는 시험 전까지 필요 부분만 챙겨도 충분합니다.",영어,이과
영어 문법 강의가 어렵게 느껴지는데 어떻게 공부해야 하나요?,"문법의 바다는 넓으니 101~301로 80% 정도만 커버한다고 생각하고, 문제를 풀면서 예시나 기출로 보충해가면 됩니다. 너무 완벽을 추구하지 말고 독해·논리에 더 시간 투자하는 것이 좋습니다.",영어,이과
"영어 인강(독해, 논리, 문법 등)에서 문법은 꼭 다 들어야 하나요?","편입 영어는 문법 문제 비중이 적어, 독해·논리 위주로 듣고, 문법은 후반기나 C과정부터 챙겨도 됩니다. A, B 과정에서는 독해와 논리에 집중하세요.",영어,이과
수학 복습이 진도 나가는 것보다 중요한가요?,"복습이 중요하지만, 진도만 계속 미루면 나중에 시간이 부족해집니다. 진도 나가면서 복습은 데일리, 위클리 테스트나 문제집으로 병행하는 것이 좋습니다.",수학,공통
"미분, 적분, 선형대수 등에서 진도를 빠르게 빼는 게 중요한가요?","초반에는 진도보다 개념·복습에 충실해야 하고, 중반부터는 복습을 병행하며 진도도 적정 속도로 빼야 합니다. 진도만 신경 쓰다가 복습을 놓치면 실력이 쌓이지 않습니다.",수학,이과
"선형대수, 다변수미적분은 언제부터 시작해야 하나요?","선형대수는 4월 말~5월 초 진입, 다변수미적분은 5월 중순 이후 개강 시기에 맞추는 것이 좋습니다. 진도 따라가며 복습도 병행하세요.",수학,이과
"선형대수 후반(선형사상, 고유치 등)이 너무 어렵게 느껴집니다.","해당 파트는 개념이 헷갈릴 수 있으니 여러 강사의 풀이, 노트정리, 반복 복습, 오답정리를 병행해야 합니다. 너무 조급해하지 말고, 현강·문제풀이·누적 복습으로 천천히 이해를 쌓으세요.",수학,이과
모의고사는 어떻게 활용해야 하나요?,"현재 위치 파악, 문제 유형 분석용으로 활용하세요. 수학은 오답 노트, 해설 강의, 영어는 틀린 단어·선지·이유까지 분석해보는 게 중요합니다.",시험준비,공통
"공부 슬럼프, 번아웃이 오면 어떻게 대처해야 하나요?",무리하지 말고 하루 이틀 푹 쉬어도 괜찮습니다. 휴식 후 최소한의 공부만 챙기다가 컨디션 회복되면 다시 정상 페이스로 돌아오세요.,학습법,공통
플래너·공부계획은 어떻게 짜야 하나요?,"과목별 진도, 복습, 단어, 인강 등 구체적으로 분량을 적고, 실행 후 피드백하며 유동적으로 조절하는 것이 좋습니다.",학습법,공통
단어 암기나 영어 진도가 뒤쳐지면 어떻게 해야 하나요?,"단어는 매일 꼭 챙기고, 진도는 현 상황에 맞춰 무리하지 않고 유동적으로 배분하세요. 필요하면 영어 시간만 따로 확보해 따라잡을 수 있습니다.",영어,이과
수학과 영어 강사님은 어떻게 선택해야 하나요?,"OT와 맛보기 강의를 들어보고, 본인에게 맞는 스타일의 강사님을 선택하는 것이 중요합니다. 수학은 암기/공간지각력/개념파 등 스타일이 다르고, 영어는 독해·문법이 약한지 등 본인 약점에 따라 결정하세요.",커리큘럼,공통
편입 영어 단어 암기는 어떻게 하면 좋나요?,"편입영어 단어는 어렵고 생소한 단어가 많으니 첫 회독은 50% 암기 목표로, 이후 50-70-80%로 점진적으로 늘리며 반복 학습하는 것이 효과적입니다.",영어,공통
영어 단어를 퀴즐렛 등 어플로 외워도 괜찮나요?,퀴즐렛 등 단어 암기 어플을 적극 활용하면 이동시간 등 자투리 시간에도 단어를 효율적으로 암기할 수 있습니다.,영어,공통
"영어 공부에서 단어와 문법, 독해 비중은 어떻게 잡아야 하나요?","문과는 영어가 더욱 중요하므로, 단어 암기와 문법, 독해 인강을 꾸준히 병행해야 합니다. 특히 문법은 기본서를 3주 내에 완강하고, 단어는 50% 이상 암기, 독해·논리도 꾸준히 챙겨주세요.",영어,문과
영어 강의를 듣다가 너무 어렵거나 스타일이 안 맞으면 강사님을 바꿔도 되나요?,"본인에게 맞는 강사로 변경해도 괜찮습니다. 예를 들어, 정병권 강의가 어렵게 느껴지면 김신근T의 노베이스 강의부터 듣는 것이 추천됩니다.",영어,공통
문법 강의를 들으려는데 어디서부터 들어야 하나요?,"노베이스(기초) 강의부터 듣고, 레벨1부터 차근차근 진행하는 것이 효율적입니다. 교재가 도착하기 전까지는 단어 암기, 교재가 오면 인강을 병행하세요.",영어,공통
"보카바이블과 김신근 단어장, 둘 다 봐야 하나요?","김신근 단어장(레벨1)을 주력으로 암기하고, 보카바이블은 데일리테스트나 복습용으로만 활용해도 충분합니다. 두 단어장에 겹치는 단어가 많으니 둘 다 반복할 필요는 없습니다.",영어,문과
공부 루틴이 잘 안 잡히고 공부 시간이 부족해요. 어떻게 해야 하나요?,"공부 루틴과 기상 루틴부터 만들고, 1시간~1시간 30분 집중공부 후 20~30분 휴식하는 패턴으로 꾸준히 반복하세요.",학습법,공통
수학과 영어 진도는 어떻게 배분해야 하나요?,"문과는 영어 중심으로, 수학 진도는 복습과 진도를 병행하되 영어 시간이 줄지 않도록 관리하세요.",학습법,문과
건강·알바 등 일정 때문에 공부를 자주 못 할 때 최소한으로 챙길 것은?,"컨디션이 안 좋거나 시간이 부족할 때도 영어 단어 암기, 영어 인강, 수학 진도 최소한으로라도 꼭 챙기세요.",학습법,공통
모의고사나 데일리테스트는 어떻게 활용해야 하나요?,"모의고사는 현재 위치 파악, 오답노트 및 해설 강의와 병행, 데일리테스트는 단어 복습과 실력 점검용으로 활용하면 좋습니다.",시험준비,공통
"진로(경영학과, 문과로 변경 등)에 고민이 있을 때 어떻게 해야 하나요?","자신의 진로에 대해 고민이 생기면 담당 선생님과 상담 후 결정하는 것이 좋으며, 결정 후에는 필요한 커리큘럼(영어 집중 등)에 맞게 학습 방향을 빠르게 전환하는 것이 중요합니다.",커리큘럼,문과
"대표적인 영어 강사(정병권, 김신근)의 특징과 선택 기준이 궁금해요.","정병권T는 구문해석/독해가 어려운 노베이스 학생에게, 김신근T는 스킬 중심 및 기출해설이 강점이므로 본인 스타일에 맞춰 OT 후 결정하면 됩니다.",커리큘럼,공통
"강의/교재 수강 신청을 실수로 잘못 신청했는데, 다시 신청할 수 있나요?","네, 각 강의는 50일 단위로 다시 신청해서 들을 수 있으니 크게 걱정하지 않아도 됩니다.",커리큘럼,공통
영어 단어 암기를 잘 못하는데 반복 회독 외에 방법이 있나요?,"단어는 누구나 반복해서 까먹고 다시 외우는 과정을 겪으니, 첫 회독은 50% 암기만 해도 충분합니다. 완벽을 추구하지 말고 무한 반복하세요.",영어,공통
